"name","id","accuracy","power","pp","priority","target","type","description","damageclass","generation"
"steel-wing","211","90","70","25","0","selected-pokemon","steel","The target is hit with wings of steel. This may also
raise the user’s Defense stat.","physical","generation-ii"
"mean-look","212","","","5","0","selected-pokemon","normal","The user pins the target with a dark, arresting look.
The target becomes unable to flee.","status","generation-ii"
"attract","213","100","","15","0","selected-pokemon","normal","If it is the opposite gender of the user, the target
becomes infatuated and less likely to attack.","status","generation-ii"
"sleep-talk","214","","","10","0","user","normal","While it is asleep, the
user randomly uses
one of the moves it
knows.
","status","generation-ii"
"heal-bell","215","","","5","0","user-and-allies","normal","The user makes a soothing bell chime to heal the
status conditions of all the party Pokémon.","status","generation-ii"
"return","216","100","","20","0","selected-pokemon","normal","A full-power attack that grows more
powerful the more the user likes
its Trainer.","physical","generation-ii"
"present","217","90","","15","0","selected-pokemon","normal","The user attacks by giving the target a gift with a
hidden trap. It restores HP sometimes, however.","physical","generation-ii"
"frustration","218","100","","20","0","selected-pokemon","normal","A full-power attack that grows more
powerful the less the user likes
its Trainer.","physical","generation-ii"
"safeguard","219","","","25","0","users-field","normal","The user creates a protective field that prevents
status conditions for five turns.","status","generation-ii"
"pain-split","220","","","20","0","selected-pokemon","normal","The user adds its HP to the target’s HP, then equally
shares the combined HP with the target.","status","generation-ii"
"sacred-fire","221","95","100","5","0","selected-pokemon","fire","The target is razed with a mystical fire of great
intensity. This may also leave the target with a burn.","physical","generation-ii"
"magnitude","222","100","","30","0","all-other-pokemon","ground","The user looses a ground-shaking quake
affecting everyone around the user.
Its power varies.","physical","generation-ii"
"dynamic-punch","223","50","100","5","0","selected-pokemon","fighting","The user punches the target with full, concentrated
power. This confuses the target if it hits.","physical","generation-ii"
"megahorn","224","85","120","10","0","selected-pokemon","bug","Utilizing its tough
and impressive
horn, the user
rams into the foe 
with no letup.
","physical","generation-ii"
"dragon-breath","225","100","60","20","0","selected-pokemon","dragon","The user exhales a mighty gust that inflicts damage.
This may also leave the target with paralysis.","special","generation-ii"
"baton-pass","226","","","40","0","user","normal","The user switches places with a party Pokémon in
waiting and passes along any stat changes.","status","generation-ii"
"encore","227","100","","5","0","selected-pokemon","normal","The user compels the
foe to keep using
only the move it last
used for three to
seven turns.","status","generation-ii"
"pursuit","228","100","40","20","0","selected-pokemon","dark","The power of this attack move is doubled if it’s used
on a target that’s switching out of battle.","physical","generation-ii"
"rapid-spin","229","100","20","40","0","selected-pokemon","normal","A spin attack that can also eliminate such moves as
Bind, Wrap, Leech Seed, and Spikes.","physical","generation-ii"
"sweet-scent","230","100","","20","0","all-opponents","normal","A sweet scent that harshly lowers opposing
Pokémon’s evasiveness. This also lures wild
Pokémon if used in places such as tall grass.","status","generation-ii"
"iron-tail","231","75","100","15","0","selected-pokemon","steel","The target is slammed with a steel-hard tail.
This may also lower the target’s Defense stat.","physical","generation-ii"
"metal-claw","232","95","50","35","0","selected-pokemon","steel","The target is raked with steel claws. This may also
raise the user’s Attack stat.","physical","generation-ii"
"vital-throw","233","","70","10","-1","selected-pokemon","fighting","The user allows the
foe to attack first.
In return, this throw
move is guaranteed
not to miss.","physical","generation-ii"
"morning-sun","234","","","5","0","user","normal","The user restores its own HP. The amount of HP
regained varies with the weather.","status","generation-ii"
"synthesis","235","","","5","0","user","grass","The user restores its own HP. The amount of HP
regained varies with the weather.","status","generation-ii"
"moonlight","236","","","5","0","user","fairy","The user restores its own HP. The amount of HP
regained varies with the weather.","status","generation-ii"
"hidden-power","237","100","60","15","0","selected-pokemon","normal","A unique attack that varies in type and
intensity depending on the Pokémon
using it.","special","generation-ii"
"cross-chop","238","80","100","5","0","selected-pokemon","fighting","The user delivers a
double chop with its
forearms crossed.
It has a high
critical-hit ratio.","physical","generation-ii"
"twister","239","100","40","20","0","all-opponents","dragon","The user whips up a vicious tornado to tear at the
opposing Pokémon. This may also make them flinch.","special","generation-ii"
"rain-dance","240","","","5","0","entire-field","water","The user summons a heavy rain that falls for five
turns, powering up Water-type moves. It lowers
the power of Fire-type moves.","status","generation-ii"
"sunny-day","241","","","5","0","entire-field","fire","The user intensifies the sun for five turns, powering
up Fire-type moves. It lowers the power of
Water-type moves.","status","generation-ii"
"crunch","242","100","80","15","0","selected-pokemon","dark","The user crunches up the target with sharp fangs.
This may also lower the target’s Defense stat.","physical","generation-ii"
"mirror-coat","243","100","","20","-5","specific-move","psychic","A retaliation move that counters any special attack,
inflicting double the damage taken.","special","generation-ii"
"psych-up","244","","","10","0","selected-pokemon","normal","The user hypnotizes itself into copying any stat
change made by the target.","status","generation-ii"
"extreme-speed","245","100","80","5","2","selected-pokemon","normal","The user charges the target at blinding
speed. This attack always goes
before any other move.","physical","generation-ii"
"ancient-power","246","100","60","5","0","selected-pokemon","rock","The user attacks with a prehistoric power.
This may also raise all the user’s stats at once.","special","generation-ii"
"shadow-ball","247","100","80","15","0","selected-pokemon","ghost","The user hurls a shadowy blob at the target.
This may also lower the target’s Sp. Def stat.","special","generation-ii"
"future-sight","248","100","120","10","0","selected-pokemon","psychic","Two turns after this
move is used, the foe
is attacked with a
hunk of psychic
energy.","special","generation-ii"
"rock-smash","249","100","40","15","0","selected-pokemon","fighting","The user attacks with a punch.
This may also lower the target’s Defense stat.
This move can also shatter rocks in the field.","physical","generation-ii"
"whirlpool","250","85","35","15","0","selected-pokemon","water","Traps the foe inside a
whirlpool that lasts
for two to five turns.
The user can pass
through whirlpools.","special","generation-ii"
"beat-up","251","100","","10","0","selected-pokemon","dark","The user gets all party Pokémon to attack the target.
The more party Pokémon, the greater the number
of attacks.","physical","generation-ii"
"fake-out","252","100","40","10","3","selected-pokemon","normal","An attack that hits first and makes the
target flinch. It only works the first turn
the user is in battle.","physical","generation-iii"
"uproar","253","100","90","10","0","random-opponent","normal","The user attacks in an uproar for three turns.
During that time, no Pokémon can fall asleep.","special","generation-iii"
"stockpile","254","","","20","0","user","normal","The user charges up power and raises both its
Defense and Sp. Def stats. The move can be used
three times.","status","generation-iii"
"spit-up","255","100","","10","0","selected-pokemon","normal","The power stored using the move Stockpile is
released at once in an attack. The more power
is stored, the greater the move’s power.","special","generation-iii"
"swallow","256","","","10","0","user","normal","The power stored using the move Stockpile is
absorbed by the user to heal its HP. Storing more
power heals more HP.","status","generation-iii"
"heat-wave","257","90","95","10","0","all-opponents","fire","The user attacks by exhaling hot breath on the
opposing Pokémon. This may also leave those
Pokémon with a burn.","special","generation-iii"
"hail","258","","","10","0","entire-field","ice","The user summons a hailstorm lasting five turns.
It damages all Pokémon except the Ice type.","status","generation-iii"
"torment","259","100","","15","0","selected-pokemon","dark","The user torments and enrages the target, making it
incapable of using the same move twice in a row.","status","generation-iii"
"flatter","260","100","","15","0","selected-pokemon","dark","Flattery is used to confuse the target. However,
this also raises the target’s Sp. Atk stat.","status","generation-iii"
"will-o-wisp","261","85","","15","0","selected-pokemon","fire","The user shoots a sinister, bluish-white flame at the
target to inflict a burn.","status","generation-iii"
"memento","262","100","","10","0","selected-pokemon","dark","The user faints when using this move. In return, this
harshly lowers the target’s Attack and Sp. Atk stats.","status","generation-iii"
"facade","263","100","70","20","0","selected-pokemon","normal","An attack move that doubles its power if
the user is poisoned, burned, or
has paralysis.","physical","generation-iii"
"focus-punch","264","100","150","20","-3","selected-pokemon","fighting","The user focuses its mind before launching a punch.
This move fails if the user is hit before it is used.","physical","generation-iii"
"smelling-salts","265","100","70","10","0","selected-pokemon","normal","This attack’s power is doubled when used on a
target with paralysis. This also cures the target’s
paralysis, however.","physical","generation-iii"
"follow-me","266","","","20","2","user","normal","The user draws attention to itself, making all targets
take aim only at the user.","status","generation-iii"
"nature-power","267","","","20","0","selected-pokemon","normal","An attack that makes use of nature’s
power. Its effects vary depending on the
user’s environment.","status","generation-iii"
"charge","268","","","20","0","user","electric","The user boosts the power of the Electric move it
uses on the next turn. This also raises the user’s
Sp. Def stat.","status","generation-iii"
"taunt","269","100","","20","0","selected-pokemon","dark","The foe is taunted
into a rage that
allows it to use only
attack moves for two
to four turns.","status","generation-iii"
"helping-hand","270","","","20","5","ally","normal","A move that boosts
the power of the
ally’s attack in a
Double Battle.
","status","generation-iii"
"trick","271","100","","10","0","selected-pokemon","psychic","The user catches the
foe off guard and
swaps the foe’s held
item with its own.
","status","generation-iii"
"role-play","272","","","10","0","selected-pokemon","psychic","The user mimics the target completely, copying the
target’s natural Ability.","status","generation-iii"
"wish","273","","","10","0","user","normal","One turn after this move is used, the user’s or its
replacement’s HP is restored by half the user’s
max HP.","status","generation-iii"
"assist","274","","","20","0","user","normal","The user hurriedly and randomly
uses a move among those known
by other Pokémon in the party.","status","generation-iii"
"ingrain","275","","","20","0","user","grass","The user lays roots that restore
its HP on every turn. Because it is
rooted, it can’t switch out.","status","generation-iii"
"superpower","276","100","120","5","0","selected-pokemon","fighting","The user attacks the target with great power.
However, this also lowers the user’s Attack and
Defense stats.","physical","generation-iii"
"magic-coat","277","","","15","4","user","psychic","A barrier reflects back to the target moves like
Leech Seed and moves that damage status.","status","generation-iii"
"recycle","278","","","10","0","user","normal","The user recycles a
single-use item that
has been used in
battle so it can be
used again.","status","generation-iii"
"revenge","279","100","60","10","-4","selected-pokemon","fighting","An attack move that inflicts double the
damage if the user has been hurt by the
opponent in the same turn.","physical","generation-iii"
"brick-break","280","100","75","15","0","selected-pokemon","fighting","The user attacks with
tough fists, etc. It
can also break any
barrier such as Light
Screen and Reflect.","physical","generation-iii"
"yawn","281","","","10","0","selected-pokemon","normal","The user lets loose a huge yawn that lulls the target
into falling asleep on the next turn.","status","generation-iii"
"knock-off","282","100","65","20","0","selected-pokemon","dark","The user slaps down the target’s held item, and that
item can’t be used in that battle. The move does
more damage if the target has a held item.","physical","generation-iii"
"endeavor","283","100","","5","0","selected-pokemon","normal","An attack move that cuts down the
target’s HP to equal the user’s HP.","physical","generation-iii"
"eruption","284","100","150","5","0","all-opponents","fire","The user attacks the opposing team with
explosive fury. The lower the user’s HP,
the less powerful this attack becomes.","special","generation-iii"
"skill-swap","285","","","10","0","selected-pokemon","psychic","The user employs its psychic power to exchange
Abilities with the target.","status","generation-iii"
"imprison","286","","","10","0","user","psychic","If the opponents know any move also known
by the user, the opponents are prevented
from using it.","status","generation-iii"
"refresh","287","","","20","0","user","normal","A self-healing move
that cures the user
of a poisoning,
burn, or paralysis.","status","generation-iii"
"grudge","288","","","5","0","user","ghost","If the user faints, the user’s grudge fully depletes
the PP of the opponent’s move that knocked it out.","status","generation-iii"
"snatch","289","","","10","4","user","dark","The user steals the effects of any
healing or stat-changing move the
opponent attempts to use.","status","generation-iii"
"secret-power","290","100","70","20","0","selected-pokemon","normal","The user attacks the target with a
secret power. Its additional effects vary
depending on the user’s environment.","physical","generation-iii"
"dive","291","100","80","10","0","selected-pokemon","water","Diving on the first turn, the user floats
up and attacks on the second turn.
It can be used to dive deep in the ocean.","physical","generation-iii"
"arm-thrust","292","100","15","20","0","selected-pokemon","fighting","The user lets loose a flurry of open-palmed arm
thrusts that hit two to five times in a row.","physical","generation-iii"
"camouflage","293","","","20","0","user","normal","The user’s type is changed depending on its
environment, such as at water’s edge, in grass, or in
a cave.","status","generation-iii"
"tail-glow","294","","","20","0","user","bug","The user stares at flashing lights to focus its mind,
drastically raising its Sp. Atk stat.","status","generation-iii"
"luster-purge","295","100","70","5","0","selected-pokemon","psychic","The user lets loose a damaging burst of light. This
may also lower the target’s Sp. Def stat.","special","generation-iii"
"mist-ball","296","100","70","5","0","selected-pokemon","psychic","A mist-like flurry of down envelops and damages the
target. This may also lower the target’s Sp. Atk stat.","special","generation-iii"
"feather-dance","297","100","","15","0","selected-pokemon","flying","The user covers the target’s body with a mass of
down that harshly lowers its Attack stat.","status","generation-iii"
"teeter-dance","298","100","","20","0","all-other-pokemon","normal","The user performs a
wobbly dance that
confuses all the
Pokémon in battle.
","status","generation-iii"
"blaze-kick","299","90","85","10","0","selected-pokemon","fire","The user launches a kick that lands a critical hit
more easily. This may also leave the target with
a burn.","physical","generation-iii"
"mud-sport","300","","","15","0","entire-field","ground","The user covers
itself with mud. It
weakens Electric-
type moves while the
user is in the battle.","status","generation-iii"
"ice-ball","301","90","30","20","0","selected-pokemon","ice","The user continually rolls into the target
over five turns. It becomes stronger
each time it hits.","physical","generation-iii"
"needle-arm","302","100","60","15","0","selected-pokemon","grass","The user attacks by wildly swinging its thorny arms.
This may also make the target flinch.","physical","generation-iii"
"slack-off","303","","","10","0","user","normal","The user slacks off,
restoring its own HP
by up to half of its
maximum HP.
","status","generation-iii"
"hyper-voice","304","100","90","10","0","all-opponents","normal","The user lets loose a horribly echoing shout with
the power to inflict damage.","special","generation-iii"
"poison-fang","305","100","50","15","0","selected-pokemon","poison","The user bites the target with toxic fangs. This may
also leave the target badly poisoned.","physical","generation-iii"
"crush-claw","306","95","75","10","0","selected-pokemon","normal","The user slashes the target with hard and sharp
claws. This may also lower the target’s Defense stat.","physical","generation-iii"
"blast-burn","307","90","150","5","0","selected-pokemon","fire","The target is razed by a fiery explosion.
The user must rest on the
next turn, however.","special","generation-iii"
"hydro-cannon","308","90","150","5","0","selected-pokemon","water","The target is hit with a watery blast.
The user must rest on the
next turn, however.","special","generation-iii"
"meteor-mash","309","90","90","10","0","selected-pokemon","steel","The target is hit with a hard punch fired like a
meteor. This may also raise the user’s Attack stat.","physical","generation-iii"
"astonish","310","100","30","15","0","selected-pokemon","ghost","The user attacks the target while shouting in a
startling fashion. This may also make the
target flinch.","physical","generation-iii"
"weather-ball","311","100","50","10","0","selected-pokemon","normal","An attack move that
varies in power and
type depending on
the weather.
","special","generation-iii"
"aromatherapy","312","","","5","0","user-and-allies","grass","The user releases a soothing scent that heals all
status conditions affecting the user’s party.","status","generation-iii"
"fake-tears","313","100","","20","0","selected-pokemon","dark","The user feigns
crying to make the
foe feel flustered,
sharply lowering its
Sp. Def stat.","status","generation-iii"
"air-cutter","314","95","60","25","0","all-opponents","flying","The user launches razor-like wind to slash the
opposing Pokémon. Critical hits land more easily.","special","generation-iii"
"overheat","315","90","130","5","0","selected-pokemon","fire","The user attacks the target at full power.
The attack’s recoil harshly reduces the
user’s Sp. Atk stat.","special","generation-iii"
"odor-sleuth","316","","","40","0","selected-pokemon","normal","Enables a Ghost-type target to be hit by Normal-
and Fighting-type attacks. This also enables an
evasive target to be hit.","status","generation-iii"
"rock-tomb","317","95","60","15","0","selected-pokemon","rock","Boulders are hurled at the target. This also lowers
the target’s Speed stat by preventing its movement.","physical","generation-iii"
"silver-wind","318","100","60","5","0","selected-pokemon","bug","The target is attacked with powdery scales blown
by the wind. This may also raise all the user’s stats.","special","generation-iii"
"metal-sound","319","85","","40","0","selected-pokemon","steel","A horrible sound like
scraping metal is
emitted to sharply
reduce the foe’s
Sp. Def stat.","status","generation-iii"
"grass-whistle","320","55","","15","0","selected-pokemon","grass","The user plays a pleasant melody that lulls the
target into a deep sleep.","status","generation-iii"
"tickle","321","100","","20","0","selected-pokemon","normal","The user tickles the target into laughing, reducing its
Attack and Defense stats.","status","generation-iii"
"cosmic-power","322","","","20","0","user","psychic","The user absorbs a mystical power from space to
raise its Defense and Sp. Def stats.","status","generation-iii"
"water-spout","323","100","150","5","0","all-opponents","water","The user spouts water to damage the
opposing team. The lower the user’s HP,
the less powerful it becomes.","special","generation-iii"
"signal-beam","324","100","75","15","0","selected-pokemon","bug","The user attacks with a sinister beam of light.
This may also confuse the target.","special","generation-iii"
"shadow-punch","325","","60","20","0","selected-pokemon","ghost","The user throws a
punch at the foe from
the shadows.
The punch lands
without fail.","physical","generation-iii"
"extrasensory","326","100","80","20","0","selected-pokemon","psychic","The user attacks with an odd, unseeable power.
This may also make the target flinch.","special","generation-iii"
"sky-uppercut","327","90","85","15","0","selected-pokemon","fighting","The user attacks the target with an uppercut thrown
skyward with force.","physical","generation-iii"
"sand-tomb","328","85","35","15","0","selected-pokemon","ground","The user traps the target inside a harshly raging
sandstorm for four to five turns.","physical","generation-iii"
"sheer-cold","329","30","","5","0","selected-pokemon","ice","The target faints instantly. It’s less likely to hit the
target if it’s used by Pokémon other than Ice types.","special","generation-iii"
"muddy-water","330","85","90","10","0","all-opponents","water","The user attacks by shooting muddy water
at the opposing team.
It may also lower the targets’ accuracy.","special","generation-iii"
"bullet-seed","331","100","25","30","0","selected-pokemon","grass","The user forcefully shoots seeds at the
target. Two to five seeds are shot in
rapid succession.","physical","generation-iii"
"aerial-ace","332","","60","20","0","selected-pokemon","flying","The user confounds the target with speed,
then slashes.
The attack lands without fail.","physical","generation-iii"
"icicle-spear","333","100","25","30","0","selected-pokemon","ice","The user launches sharp icicles at the
target. It strikes two to five times in
a row.","physical","generation-iii"
"iron-defense","334","","","15","0","user","steel","The user hardens its body’s surface like iron,
sharply raising its Defense stat.","status","generation-iii"
"block","335","","","5","0","selected-pokemon","normal","The user blocks the target’s way with arms spread
wide to prevent escape.","status","generation-iii"
"howl","336","","","40","0","user","normal","The user howls loudly to raise its spirit, which raises
its Attack stat.","status","generation-iii"
"dragon-claw","337","100","80","15","0","selected-pokemon","dragon","Sharp, huge claws
hook and slash the
foe quickly and
with great power.","physical","generation-iii"
"frenzy-plant","338","90","150","5","0","selected-pokemon","grass","The user slams the target with an enormous tree.
The user can’t move on the next turn.","special","generation-iii"
"bulk-up","339","","","20","0","user","fighting","The user tenses its muscles to bulk up
its body, boosting both its Attack and
Defense stats.","status","generation-iii"
"bounce","340","85","85","5","0","selected-pokemon","flying","The user bounces up high, then drops on the target
on the second turn. This may also leave the target
with paralysis.","physical","generation-iii"
"mud-shot","341","95","55","15","0","selected-pokemon","ground","The user attacks by hurling a blob of mud at the
target. This also lowers the target’s Speed stat.","special","generation-iii"
"poison-tail","342","100","50","25","0","selected-pokemon","poison","The user hits the target with its tail. This may also
poison the target. Critical hits land more easily.","physical","generation-iii"
"covet","343","100","60","25","0","selected-pokemon","normal","The user endearingly
approaches the foe,
then steals the item
the foe is holding.
","physical","generation-iii"
"volt-tackle","344","100","120","15","0","selected-pokemon","electric","The user electrifies itself and charges the target.
This also damages the user quite a lot. This attack
may leave the target with paralysis.","physical","generation-iii"
"magical-leaf","345","","60","20","0","selected-pokemon","grass","The user scatters curious leaves
that chase the target.
This attack will not miss.","special","generation-iii"
"water-sport","346","","","15","0","entire-field","water","The user soaks itself with water. The move
weakens Fire-type moves while the user
is in the battle.","status","generation-iii"
"calm-mind","347","","","20","0","user","psychic","The user quietly focuses its mind and calms its
spirit to raise its Sp. Atk and Sp. Def stats.","status","generation-iii"
"leaf-blade","348","100","90","15","0","selected-pokemon","grass","The user handles a sharp leaf like a sword and
attacks by cutting its target. Critical hits land
more easily.","physical","generation-iii"
"dragon-dance","349","","","20","0","user","dragon","The user vigorously performs a mystic, powerful
dance that raises its Attack and Speed stats.","status","generation-iii"
"rock-blast","350","90","25","10","0","selected-pokemon","rock","The user hurls hard rocks at the target.
Two to five rocks are launched in quick
succession.","physical","generation-iii"
"shock-wave","351","","60","20","0","selected-pokemon","electric","The user strikes the target with a quick
jolt of electricity.
This attack cannot be evaded.","special","generation-iii"
"water-pulse","352","100","60","20","0","selected-pokemon","water","The user attacks the target with a pulsing blast of
water. This may also confuse the target.","special","generation-iii"
"doom-desire","353","100","140","5","0","selected-pokemon","steel","Two turns after this move is used, the
user blasts the target with a
concentrated bundle of light.","special","generation-iii"
"psycho-boost","354","90","140","5","0","selected-pokemon","psychic","The user attacks the target at full power.
The attack’s recoil harshly reduces the
user’s Sp. Atk stat.","special","generation-iii"
"roost","355","","","10","0","user","flying","The user lands and rests its body. It restores the
user’s HP by up to half of its max HP.","status","generation-iv"
"gravity","356","","","5","0","entire-field","psychic","Enables Flying-type Pokémon or Pokémon with the
Levitate Ability to be hit by Ground-type moves.
Flying moves can’t be used.","status","generation-iv"
"miracle-eye","357","","","40","0","selected-pokemon","psychic","Enables a Dark-type target to be hit by
Psychic-type attacks. This also enables an evasive
target to be hit.","status","generation-iv"
"wake-up-slap","358","100","70","10","0","selected-pokemon","fighting","This attack inflicts big damage on a sleeping target.
This also wakes the target up, however.","physical","generation-iv"
"hammer-arm","359","90","100","10","0","selected-pokemon","fighting","The user swings and hits with its strong
and heavy fist.
It lowers the user’s Speed, however.","physical","generation-iv"
"gyro-ball","360","100","","5","0","selected-pokemon","steel","The user tackles the target with a high-speed spin.
The slower the user compared to the target, the
greater the move’s power.","physical","generation-iv"
"healing-wish","361","","","10","0","user","psychic","The user faints. In return, the Pokémon taking its
place will have its HP restored and status
conditions cured.","status","generation-iv"
"brine","362","100","65","10","0","selected-pokemon","water","If the target’s HP is down to about half,
this attack will hit with double
the power.","special","generation-iv"
"natural-gift","363","100","","15","0","selected-pokemon","normal","The user draws power to attack by using its held
Berry. The Berry determines the move’s type
and power.","physical","generation-iv"
"feint","364","100","30","10","2","selected-pokemon","normal","This attack hits a target using a move such as
Protect or Detect.
This also lifts the effects of those moves.","physical","generation-iv"
"pluck","365","100","60","20","0","selected-pokemon","flying","The user pecks the target. If the target is holding a
Berry, the user eats it and gains its effect.","physical","generation-iv"
"tailwind","366","","","15","0","users-field","flying","The user whips up a turbulent whirlwind that ups
the Speed stat of the user and its allies for
four turns.","status","generation-iv"
"acupressure","367","","","30","0","user-or-ally","normal","The user applies pressure to stress points, sharply
boosting one of its or its allies’ stats.","status","generation-iv"
"metal-burst","368","100","","10","0","specific-move","steel","The user retaliates with much greater force against
the opponent that last inflicted damage on it.","physical","generation-iv"
"u-turn","369","100","70","20","0","selected-pokemon","bug","After making its attack, the user rushes back to
switch places with a party Pokémon in waiting.","physical","generation-iv"
"close-combat","370","100","120","5","0","selected-pokemon","fighting","The user fights the target up close without guarding
itself. This also lowers the user’s Defense and
Sp. Def stats.","physical","generation-iv"
"payback","371","100","50","10","0","selected-pokemon","dark","The user stores power, then attacks. If the user
moves after the target, this attack’s power will
be doubled.","physical","generation-iv"
"assurance","372","100","60","10","0","selected-pokemon","dark","If the target has already taken some damage in the
same turn, this attack’s power is doubled.","physical","generation-iv"
"embargo","373","100","","15","0","selected-pokemon","dark","This move prevents the target from using its held
item for five turns. Its Trainer is also prevented from
using items on it.","status","generation-iv"
"fling","374","100","","10","0","selected-pokemon","dark","The user flings its held item at the target to attack.
This move’s power and effects depend on the item.","physical","generation-iv"
"psycho-shift","375","100","","10","0","selected-pokemon","psychic","Using its psychic power of suggestion, the user
transfers its status conditions to the target.","status","generation-iv"
"trump-card","376","","","5","0","selected-pokemon","normal","The fewer PP this
move has, the more
power it has for
attack.
","special","generation-iv"
"heal-block","377","100","","15","0","all-opponents","psychic","For five turns, the user prevents the opposing team
from using any moves, Abilities, or held items that
recover HP.","status","generation-iv"
"wring-out","378","100","","5","0","selected-pokemon","normal","The user powerfully wrings the target.
The more HP the target has, the greater
this attack’s power.","special","generation-iv"
"power-trick","379","","","10","0","user","psychic","The user employs its psychic power to switch its
Attack stat with its Defense stat.","status","generation-iv"
"gastro-acid","380","100","","10","0","selected-pokemon","poison","The user hurls up its stomach acids on the target.
The fluid eliminates the effect of the target’s Ability.","status","generation-iv"
"lucky-chant","381","","","30","0","users-field","normal","The user chants an incantation toward the sky,
preventing opposing Pokémon from landing
critical hits for five turns.","status","generation-iv"
"me-first","382","","","20","0","selected-pokemon-me-first","normal","The user cuts ahead of the target to steal and
use the target’s intended move with greater power.
This move fails if it isn’t used first.","status","generation-iv"
"copycat","383","","","20","0","user","normal","The user mimics the move used immediately before
it. The move fails if no other move has been
used yet.","status","generation-iv"
"power-swap","384","","","10","0","selected-pokemon","psychic","The user employs its psychic power to switch
changes to its Attack and Sp. Atk stats with
the target.","status","generation-iv"
"guard-swap","385","","","10","0","selected-pokemon","psychic","The user employs its psychic power to switch
changes to its Defense and Sp. Def stats with
the target.","status","generation-iv"
"punishment","386","100","","5","0","selected-pokemon","dark","The more the target has powered up with stat
changes, the greater the move’s power.","physical","generation-iv"
"last-resort","387","100","140","5","0","selected-pokemon","normal","This move can be used only after the user has used
all the other moves it knows in the battle.","physical","generation-iv"
"worry-seed","388","100","","10","0","selected-pokemon","grass","A seed that causes worry is planted on the target.
It prevents sleep by making the target’s
Ability Insomnia.","status","generation-iv"
"sucker-punch","389","100","70","5","1","selected-pokemon","dark","This move enables the user to attack
first. It fails if the target is not
readying an attack, however.","physical","generation-iv"
"toxic-spikes","390","","","20","0","opponents-field","poison","The user lays a trap of poison spikes at the feet of
the opposing team. The spikes will poison opposing
Pokémon that switch into battle.","status","generation-iv"
"heart-swap","391","","","10","0","selected-pokemon","psychic","The user employs its psychic power to switch stat
changes with the target.","status","generation-iv"
"aqua-ring","392","","","20","0","user","water","The user envelops itself in a veil made
of water. It regains some HP on
every turn.","status","generation-iv"
"magnet-rise","393","","","10","0","user","electric","The user levitates
using electrically
generated magnetism
for five turns.
","status","generation-iv"
"flare-blitz","394","100","120","15","0","selected-pokemon","fire","The user cloaks itself in fire and charges the target.
This also damages the user quite a lot. This attack
may leave the target with a burn.","physical","generation-iv"
"force-palm","395","100","60","10","0","selected-pokemon","fighting","The target is attacked with a shock wave. This may
also leave the target with paralysis.","physical","generation-iv"
"aura-sphere","396","","80","20","0","selected-pokemon","fighting","The user lets loose a blast of aura power from deep
within its body at the target. This attack
never misses.","special","generation-iv"
"rock-polish","397","","","20","0","user","rock","The user polishes its body to reduce drag.
This can sharply raise the Speed stat.","status","generation-iv"
"poison-jab","398","100","80","20","0","selected-pokemon","poison","The target is stabbed with a tentacle or arm steeped
in poison. This may also poison the target.","physical","generation-iv"
"dark-pulse","399","100","80","15","0","selected-pokemon","dark","The user releases a horrible aura imbued with dark
thoughts. This may also make the target flinch.","special","generation-iv"
"night-slash","400","100","70","15","0","selected-pokemon","dark","The user slashes the target the instant an
opportunity arises. Critical hits land more easily.","physical","generation-iv"
"aqua-tail","401","90","90","10","0","selected-pokemon","water","The user attacks by
swinging its tail as if
it were a vicious wave
in a raging storm.
","physical","generation-iv"
"seed-bomb","402","100","80","15","0","selected-pokemon","grass","The user slams a barrage of hard-shelled seeds
down on the target from above.","physical","generation-iv"
"air-slash","403","95","75","15","0","selected-pokemon","flying","The user attacks with a blade of air that slices even
the sky. This may also make the target flinch.","special","generation-iv"
"x-scissor","404","100","80","15","0","selected-pokemon","bug","The user slashes at the target by crossing its
scythes or claws as if they were a pair of scissors.","physical","generation-iv"
"bug-buzz","405","100","90","10","0","selected-pokemon","bug","The user vibrates its wings to generate a
damaging sound wave. This may also lower
the target’s Sp. Def stat.","special","generation-iv"
"dragon-pulse","406","100","85","10","0","selected-pokemon","dragon","The target is attacked with a shock wave generated
by the user’s gaping mouth.","special","generation-iv"
"dragon-rush","407","75","100","10","0","selected-pokemon","dragon","The user tackles the target while exhibiting
overwhelming menace. This may also make the
target flinch.","physical","generation-iv"
"power-gem","408","100","80","20","0","selected-pokemon","rock","The user attacks with
a ray of light that
sparkles as if it were
made of gemstones.
","special","generation-iv"
"drain-punch","409","100","75","10","0","selected-pokemon","fighting","An energy-draining punch. The user’s HP is restored
by half the damage taken by the target.","physical","generation-iv"
"vacuum-wave","410","100","40","30","1","selected-pokemon","fighting","The user whirls its fists to send a wave of pure
vacuum at the target. This move always goes first.","special","generation-iv"
"focus-blast","411","70","120","5","0","selected-pokemon","fighting","The user heightens its mental focus and unleashes
its power. This may also lower the target’s 
Sp. Def stat.","special","generation-iv"
"energy-ball","412","100","90","10","0","selected-pokemon","grass","The user draws power from nature and fires it at the
target. This may also lower the target’s Sp. Def stat.","special","generation-iv"
"brave-bird","413","100","120","15","0","selected-pokemon","flying","The user tucks in its wings and charges from a low
altitude. This also damages the user quite a lot.","physical","generation-iv"
"earth-power","414","100","90","10","0","selected-pokemon","ground","The user makes the ground under the target erupt
with power. This may also lower the target’s 
Sp. Def stat.","special","generation-iv"
