"name","id","description","generation"
"reckless","120","This Pokémon's recoil moves and crash moves have 1.2× their base power.

struggle is unaffected.

The ""crash moves"" are the moves that damage the user upon missing: jump kick and high jump kick.","generation-iv"
"multitype","121","If this Pokémon is holding an elemental Plate, its type and form change to match the Plate.

This Pokémon's held item, whether or not it is a Plate, cannot be taken by covet or thief, nor removed by knock off, nor traded by switcheroo or trick.  Covet, Thief, and Knock Off still inflict damage against this Pokémon.  Unlike with sticky hold, this Pokémon cannot use fling, Switcheroo, or Trick to lose its item itself, nor gain an item through Switcheroo or Trick if it does not have one.

This ability has no effect for any Pokémon other than arceus.  This ability cannot be traded with skill swap, nor copied with role play or trace, nor disabled with gastro acid, nor changed with worry seed.  This Pokémon cannot use Skill Swap or Role Play to lose its ability itself.  mold breaker cannot ignore this ability.

If a Pokémon Transforms into an Arceus with this ability, it will Transform into Arceus's default, normal-type form.  If the Transforming Pokémon is holding a Plate, this ability will then activate and change the Pokémon into the corresponding form.","generation-iv"
"flower-gift","122","Friendly Pokémon have 1.5× their Attack and Special Defense during strong sunlight if any friendly Pokémon has this ability.

Unlike forecast, multitype, and zen mode, this ability is not tied to its Pokémon's form change; cherrim will switch between its forms even if it loses this ability.  As such, this ability also works if obtained by a Pokémon other than Cherrim.","generation-iv"
"bad-dreams","123","Opposing Pokémon take 1/8 of their maximum HP in damage after each turn while they are asleep.","generation-iv"
"pickpocket","124","Whenever a move makes contact with this Pokémon, if it does not have a held item, it steals the attacker's held item.

This Pokémon cannot steal upon being knocked out.  It can steal if the attacker has a substitute, but cannot steal when its own Substitute is hit.  If a move hits multiple times, only the last hit triggers this ability.  If this Pokémon is wild, it cannot steal from a trained Pokémon.","generation-v"
"sheer-force","125","This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.

Moves that lower the user's stats are unaffected.","generation-v"
"contrary","126","Whenever this Pokémon's stats would be raised, they are instead lowered by the same amount, and vice versa.","generation-v"
"unnerve","127","Opposing Pokémon cannot eat held Berries while this Pokémon is in battle.

Affected Pokémon can still use bug bite or pluck to eat a target's Berry.","generation-v"
"defiant","128","When any of this Pokémon's stats are lowered, its Attack rises by two stages.

If multiple stats are lowered at once, this ability takes effect with each stat lowered.","generation-v"
"defeatist","129","This Pokémon's Attack and Special Attack are halved when it has half its HP or less.","generation-v"
"cursed-body","130","Moves that hit this Pokémon have a 30% chance of being Disabled afterward.","generation-v"
"healer","131","Friendly Pokémon next to this Pokémon in double and triple battles each have a 30% chance of being cured of any major status ailment after each turn.","generation-v"
"friend-guard","132","All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle.

This effect stacks if multiple allied Pokémon have it.","generation-v"
"weak-armor","133","Whenever a physical move hits this Pokémon, its Speed rises one stage and its Defense falls one stage.

This ability triggers on every hit of a multiple-hit move.","generation-v"
"heavy-metal","134","This Pokémon has double the usual weight for its species.","generation-v"
"light-metal","135","This Pokémon has half the usual weight for its species.","generation-v"
"multiscale","136","This Pokémon takes half as much damage when it is hit having full HP.","generation-v"
"toxic-boost","137","This Pokémon has 1.5× its Attack when poisoned.","generation-v"
"flare-boost","138","This Pokémon has 1.5× its Special Attack when burned.","generation-v"
"harvest","139","After each turn, if the last item this Pokémon consumed was a Berry and it is not currently holding an item, it has a 50% chance of regaining that Berry, or a 100% chance during strong sunlight.","generation-v"
"telepathy","140","This Pokémon does not take damage from friendly Pokémon's moves, including single-target moves aimed at it.","generation-v"
"moody","141","After each turn, one of this Pokémon's stats at random rises two stages, and another falls one stage.

If a stat is already at 6 or -6 stages, it will not be chosen to be increased or decreased, respectively.","generation-v"
"overcoat","142","This Pokémon does not take damage from weather.","generation-v"
"poison-touch","143","This Pokémon's contact moves have a 30% chance of poisoning the target with each hit.

This counts as an extra effect for the purposes of shield dust.  This ability takes effect before mummy.","generation-v"
"regenerator","144","This Pokémon regains 1/3 of its maximum HP when it is switched out for another Pokémon under any circumstances other than having fainted.

This ability does not take effect when a battle ends.","generation-v"
"big-pecks","145","This Pokémon's Defense cannot be lowered by other Pokémon.

This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.","generation-v"
"sand-rush","146","This Pokémon's Speed is doubled during a sandstorm, and it does not take sandstorm damage, regardless of type.","generation-v"
"wonder-skin","147","Non-damaging moves have exactly 50% base accuracy against this Pokémon.","generation-v"
"analytic","148","This Pokémon's moves have 1.3× their power when it moves last in a turn.

future sight and doom desire are unaffected.","generation-v"
"illusion","149","This Pokémon, upon being sent out, appears to have the species, nickname, and Poké Ball of the last Pokémon in the party that is able to battle.  This illusion breaks upon being hit by a damaging move.

Other damage, e.g. from weather or spikes, does not break the illusion, nor does damage done to a substitute.

If the party order becomes temporarily shuffled around as Pokémon are switched out in battle, this ability chooses the last Pokémon according to that shuffled order.","generation-v"
"imposter","150","This Pokémon transforms into a random opponent upon entering battle.  This effect is identical to the move transform.","generation-v"
"infiltrator","151","This Pokémon's moves ignore light screen, reflect, and safeguard.","generation-v"
"mummy","152","Whenever a contact move hits this Pokémon, the attacking Pokémon's ability changes to Mummy.

multitype is unaffected.  If a Pokémon with moxie knocks this Pokémon out, the former's ability will change without taking effect.","generation-v"
"moxie","153","This Pokémon's Attack rises one stage upon knocking out another Pokémon, even a friendly Pokémon.

This ability does not take effect when the Pokémon indirectly causes another Pokémon to faint, e.g. through poison or spikes.

If this Pokémon knocks out a Pokémon with mummy, the former's ability will change without taking effect.","generation-v"
"justified","154","Whenever a dark-type move hits this Pokémon, its Attack rises one stage.

The move is not negated in any way.","generation-v"
"rattled","155","This Pokémon's Speed rises one stage with each hit from a damaging dark-, ghost-, or bug-type move.","generation-v"
"magic-bounce","156","When this Pokémon is targeted by a move flagged as being reflectable, the move is redirected to its user.

All reflectable moves are non-damaging, and most non-damaging moves that target other Pokémon are reflectable.

A move reflected by this ability or magic coat cannot be reflected back.","generation-v"
"sap-sipper","157","Whenever a grass-type move hits this Pokémon, its Attack rises one stage, negating any other effect on it.","generation-v"
"prankster","158","This Pokémon's non-damaging moves have their priority increased by one stage.","generation-v"
"sand-force","159","During a sandstorm, this Pokémon's rock, ground, and steel-type moves have 1.3× their base power.  This Pokémon does not take sandstorm damage, regardless of type.","generation-v"
"iron-barbs","160","Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.

This ability functions identically to rough skin.","generation-v"
"zen-mode","161","This Pokémon switches between Standard Mode and Zen Mode after each turn depending on its HP.  Below 50% of its maximum HP, it switches to Zen Mode, and at 50% or above, it switches to Standard Mode.

This Pokémon returns to Standard Mode upon leaving battle or losing this ability.  This ability has no effect if this Pokémon is not a darmanitan.","generation-v"
"victory-star","162","All friendly Pokémon's moves, including this Pokémon's own moves, have 1.1× their usual accuracy while this Pokémon is in battle.","generation-v"
"turboblaze","163","This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and teravolt.","generation-v"
"teravolt","164","This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and turboblaze.","generation-v"
"aroma-veil","165","Protects allies against moves that affect their mental state.","generation-vi"
"flower-veil","166","Protects friendly grass Pokémon from having their stats lowered by other Pokémon.","generation-vi"
"cheek-pouch","167","Restores HP upon eating a Berry, in addition to the Berry's effect.","generation-vi"
"protean","168","Changes the bearer's type to match each move it uses.

The type change takes place just before the move is used.","generation-vi"
"fur-coat","169","Halves damage from physical attacks.","generation-vi"
"magician","170","Steals the target's held item when the bearer uses a damaging move.","generation-vi"
"bulletproof","171","Protects against bullet, ball, and bomb-based moves.","generation-vi"
"competitive","172","Raises Special Attack by two stages upon having any stat lowered.","generation-vi"
"strong-jaw","173","Strengthens biting moves to 1.5× their power.","generation-vi"
"refrigerate","174","Turns the bearer's normal-type moves into ice-type moves.  Moves changed by this ability have 1.3× their power.","generation-vi"
"sweet-veil","175","Prevents friendly Pokémon from sleeping.","generation-vi"
"stance-change","176","Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield.","generation-vi"
"gale-wings","177","Raises flying moves' priority by one stage.","generation-vi"
"mega-launcher","178","Strengthens aura and pulse moves to 1.5× their power.","generation-vi"
"grass-pelt","179","Boosts Defense while grassy terrain is in effect.","generation-vi"
"symbiosis","180","Passes the bearer's held item to an ally when the ally uses up its item.","generation-vi"
"tough-claws","181","Strengthens moves that make contact to 1.33× their power.","generation-vi"
"pixilate","182","Turns the bearer's normal-type moves into fairy moves.  Moves changed by this ability have 1.3× their power.","generation-vi"
"gooey","183","Lowers attacking Pokémon's Speed by one stage on contact.","generation-vi"
"aerilate","184","Turns the bearer's normal-type moves into flying-type moves.  Moves changed by this ability have 1.3× their power.","generation-vi"
"parental-bond","185","Lets the bearer hit twice with damaging moves.  The second hit has half power.","generation-vi"
"dark-aura","186","Strengthens dark moves for all friendly and opposing Pokémon.","generation-vi"
"fairy-aura","187","Strengthens fairy moves for all friendly and opposing Pokémon.","generation-vi"
"aura-break","188","While this Pokémon is on the field, dark aura and fairy aura weaken moves of their respective types to 2/3 their power, rather than strengthening them.","generation-vi"
"primordial-sea","189","When this Pokémon enters battle or gains this ability, the weather becomes heavy rain.  Heavy rain has all the properties of rain dance and also causes damaging Fire moves to fail.

Heavy rain ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and desolate land.

air lock and cloud nine will prevent the effects of heavy rain, including allowing Fire moves to work, but will not allow the weather to be changed.","generation-vi"
"desolate-land","190","When this Pokémon enters battle or gains this ability, the weather becomes extremely harsh sunlight.  Extremely harsh sunlight has all the properties of sunny day and also causes damaging Water moves to fail.

Extremely harsh sunlight ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and primordial sea.

air lock and cloud nine will prevent the effects of extremely harsh sunlight, including allowing Water moves to work, but will not allow the weather to be changed.","generation-vi"
"delta-stream","191","When this Pokémon enters battle or gains this ability, the weather becomes a mysterious air current.  A mysterious air current causes moves to not be super effective against Flying; they do neutral damage instead.  anticipation and stealth rock are not affected.

The mysterious air current ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of desolate land and primordial sea.

air lock and cloud nine will prevent the effect of a mysterious air current, but will not allow the weather to be changed.","generation-vi"
"stamina","192","Raises this Pokémon's Defense by one stage when it takes damage from a move.","generation-vii"
"wimp-out","193","After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.","generation-vii"
"emergency-exit","194","After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.","generation-vii"
"water-compaction","195","Raises this Pokémon's Defense by two stages when it's hit by a Water move.","generation-vii"
"merciless","196","This Pokémon's moves critical hit against poisoned targets.","generation-vii"
"shields-down","197","When this Pokémon enters battle and at the end of each turn, if its HP is 50% or above, it changes into Meteor Form; otherwise, it changes into Core Form.  In Meteor Form, it cannot be given a major status ailment (though existing ones are not cured), cannot become drowsy from yawn, and cannot use rest (which will simply fail).

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Minior.","generation-vii"
"stakeout","198","This Pokémon's moves have double power against Pokémon that switched in this turn.","generation-vii"
"water-bubble","199","When this Pokémon is hit by a Fire move, the damage is halved.  When this Pokémon uses a Water move, the power is doubled. This Pokémon cannot be burned, and if it becomes burned, the burn is immediately cured.","generation-vii"
"steelworker","200","This Pokémon's Steel moves have 1.5× power.","generation-vii"
"berserk","201","Whenever this Pokémon takes damage from a move that causes its HP to drop below 50%, its Special Attack rises by one stage.","generation-vii"
"slush-rush","202","During Hail, this Pokémon has double Speed.","generation-vii"
"long-reach","203","A move used by this Pokémon will not make contact.","generation-vii"
"liquid-voice","204","When this Pokémon uses a move that is sound-based, that move's type is Water.","generation-vii"
"triage","205","This Pokémon's healing moves have their priority increased by 3.","generation-vii"
"galvanize","206","When this Pokémon uses a Normal moves, that move is Electric its power is 1.2×.","generation-vii"
"surge-surfer","207","Doubles this Pokémon's Speed on Electric Terrain.","generation-vii"
"schooling","208","If this Pokémon is a wishiwashi and level 20 or above, then when it enters battle and at the start of each turn, it becomes Schooling Form if its HP is 25% or higher and Solo Form otherwise.

This ability cannot be replaced, copied, or nullified.","generation-vii"
"disguise","209","If this Pokémon is in its Disguised Form and takes damage from a move, it switches to its Busted Form and the damage is prevented.  Other effects are not prevented.

This ability cannot be copied or replaced.  This ability only takes effect for Mimikyu.","generation-vii"
"battle-bond","210","Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.

This ability cannot be copied or replaced.  This ability only takes effect for Greninja.","generation-vii"
"power-construct","211","Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.

This ability cannot be copied or replaced.  This ability only takes effect for Zygarde.","generation-vii"
"corrosion","212","This Pokémon's moves and item ignore the usual immunity of Poison and Steel Pokémon when attempting to inflict poison.","generation-vii"
"comatose","213","This Pokémon always acts as though it were Asleep.  It cannot be given another status ailment; it's unaffected by yawn; it can use sleep talk; and so on.","generation-vii"
"queenly-majesty","214","When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.","generation-vii"
"innards-out","215","When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining.","generation-vii"
"dancer","216","Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards.","generation-vii"
"battery","217","Ally Pokémon's moves have their power increased to 1.3×.","generation-vii"
"fluffy","218","Damage from contact moves is halved.  Damage from Fire moves is doubled.","generation-vii"
"dazzling","219","When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.","generation-vii"
"soul-heart","220","This Pokémon's Special Attack rises by one stage every time any Pokémon faints.","generation-vii"
"tangling-hair","221","When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage.","generation-vii"
"receiver","222","When an ally faints, this Pokémon gains its Ability.","generation-vii"
"power-of-alchemy","223","When an ally faints, this Pokémon gains its Ability.","generation-vii"
"beast-boost","224","Raises this Pokémon's highest stat by one stage when it faints another Pokémon.","generation-vii"
"rks-system","225","Changes this Pokémon's type to match its held Memory.

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Silvally.","generation-vii"
"electric-surge","226","When this Pokémon enters battle, it changes the terrain to electric terrain.","generation-vii"
"psychic-surge","227","When this Pokémon enters battle, it changes the terrain to psychic terrain.","generation-vii"
"misty-surge","228","When this Pokémon enters battle, it changes the terrain to misty terrain.","generation-vii"
"grassy-surge","229","When this Pokémon enters battle, it changes the terrain to grassy terrain.","generation-vii"
"full-metal-body","230","This Pokémon's stats cannot be lowered by other Pokémon's moves or abilities.  This effect only applies to normal stat modifications and not more exotic effects such as topsy turvy or power swap.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.","generation-vii"
"shadow-shield","231","When this Pokémon has full HP, regular damage (not fixed damage!) from moves is halved.

This ability cannot be nullified.","generation-vii"
"prism-armor","232","Super-effective damage this Pokémon takes is reduced to 0.75×.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.","generation-vii"
"neuroforce","233","XXX new effect for neuroforce","generation-vii"
